Event	ID	Name			Wwise Object Path	Notes
	414206330	fx_bulle			\Default Work Unit\SFX\fx_bulle	
	529726532	end			\Default Work Unit\MUS\end	
	879807740	fx_monster			\Default Work Unit\SFX\fx_monster	
	1252715098	fx_door			\Default Work Unit\SFX\fx_door	
	1753944917	bug_room			\Default Work Unit\SFX\bug_room	
	2325123060	fx_destroy			\Default Work Unit\SFX\fx_destroy	
	2585328977	fx_hit			\Default Work Unit\SFX\fx_hit	
	2869415603	fx_att			\Default Work Unit\SFX\fx_att	
	2955764622	fx_select			\Default Work Unit\SFX\fx_select	
	3114787480	fx_none			\Default Work Unit\SFX\fx_none	
	3149643052	mus_menu			\Default Work Unit\MUS\mus_menu	
	3161053200	fx_grab			\Default Work Unit\SFX\fx_grab	
	3348100181	fx_next			\Default Work Unit\SFX\fx_next	
	3444599549	mus_victory			\Default Work Unit\MUS\mus_victory	
	3872889310	fx_button			\Default Work Unit\SFX\fx_button	
	4106786016	mus_start_bug			\Default Work Unit\MUS\mus_start_bug	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	276692451	2m B	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\MUS\2m B_D2927CEA.wem		\Interactive Music Hierarchy\Default Work Unit\MUS\2m B\2m B		89919
	306310403	MUS BUG LIGHT C	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\MUS BUG\MUS BUG LIGHT C_D2927CEA.wem		\Interactive Music Hierarchy\Default Work Unit\MUS\ROOM_BUG_A\MUS BUG LIGHT C\MUS BUG LIGHT C		216659
	318006219	bug_buzz_A	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\bug_buzz_A_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\BUG\BUG\bug_buzz_A		90792
	324453912	fx_none	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\fx_none_AA06F3FA.wem		\Actor-Mixer Hierarchy\Default Work Unit\fx_none		171792
	330299835	fx_select	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\fx_grab_D31AAAFD.wem		\Actor-Mixer Hierarchy\Default Work Unit\fx_select		151616
	349549188	BRUIT ROSE	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\BRUIT ROSE_D2927CEA.wem		\Interactive Music Hierarchy\Default Work Unit\MUS\END\BRUIT ROSE\BRUIT ROSE		88544
	385812007	MUS IV A	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\MUS\MUS IV A_D2927CEA.wem		\Interactive Music Hierarchy\Default Work Unit\MUS\ROOM_04\MUS IV A\MUS IV A		256155
	390140804	MUS BUG LOOP E	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\MUS BUG\MUS BUG LOOP E_D2927CEA.wem		\Interactive Music Hierarchy\Default Work Unit\MUS\ROOM_BUG_C\MUS BUG LOOP E\MUS BUG LOOP E		163429
	410857013	bug_noise	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\bug_noise_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\BUG\BUG\bug_noise		90776
	421622993	MUS BUG LOOP C	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\MUS BUG\MUS BUG LOOP C_D2927CEA.wem		\Interactive Music Hierarchy\Default Work Unit\MUS\ROOM_BUG_B\MUS BUG LOOP C\MUS BUG LOOP C		247979
	445129043	bug_end	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\bug_buzz_B_019FB064.wem		\Actor-Mixer Hierarchy\Default Work Unit\BUG\bug_end		47052
	492048873	MUS IV B	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\MUS\MUS IV B_D2927CEA.wem		\Interactive Music Hierarchy\Default Work Unit\MUS\ROOM_04\MUS IV B\MUS IV B		268988
	497092800	fx_grab_03	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\fx_grab_03_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\fx_grab\fx_grab_03		201984
	506231787	MUS I	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\MUS\MUS I_D2927CEA.wem		\Interactive Music Hierarchy\Default Work Unit\MUS\ROOM_01\MUS I\MUS I		273473
	518331236	MUS BUG LOOP G	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\MUS BUG\MUS BUG LOOP G_D2927CEA.wem		\Interactive Music Hierarchy\Default Work Unit\MUS\ROOM_BUG_C\MUS BUG LOOP G\MUS BUG LOOP G		106240
	598689229	MUS III B	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\MUS\MUS III B_D2927CEA.wem		\Interactive Music Hierarchy\Default Work Unit\MUS\ROOM_03\MUS III B\MUS III B		243545
	614102286	MUS BUG LOOP D	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\MUS BUG\MUS BUG LOOP D_D2927CEA.wem		\Interactive Music Hierarchy\Default Work Unit\MUS\ROOM_BUG_C\MUS BUG LOOP D\MUS BUG LOOP D		120178
	622456485	GLITCH	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\glitch_interface_super_duper_04_D2927CEA.wem		\Interactive Music Hierarchy\Default Work Unit\MUS\END\BRUIT ROSE\GLITCH		89943
	622848671	fx_monster	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\fx_monster_EAA30283.wem		\Actor-Mixer Hierarchy\Default Work Unit\fx_monster		125460
	642215571	fx_att	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\fx_att_40232343.wem		\Actor-Mixer Hierarchy\Default Work Unit\fx_att		90776
	662339137	MUS BUG SMP D	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\MUS BUG\MUS BUG SMP D_D2927CEA.wem		\Interactive Music Hierarchy\Default Work Unit\MUS\ROOM_BUG_D\MUS BUG SMP D\MUS BUG SMP D		112984
	722001932	fx_end	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\fx_end_F4AF1E87.wem		\Actor-Mixer Hierarchy\Default Work Unit\fx_end		420204
	777883526	MUS BUG SMP C	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\MUS BUG\MUS BUG SMP C_D2927CEA.wem		\Interactive Music Hierarchy\Default Work Unit\MUS\ROOM_BUG_C\MUS BUG SMP C\MUS BUG SMP C		112696
	785846887	MUS BUG SMP B	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\MUS BUG\MUS BUG SMP B_D2927CEA.wem		\Interactive Music Hierarchy\Default Work Unit\MUS\ROOM_BUG_C\MUS BUG SMP B\MUS BUG SMP B		206609
	813891382	MUS II A	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\MUS\MUS II A_D2927CEA.wem		\Interactive Music Hierarchy\Default Work Unit\MUS\ROOM_02\MUS II A\MUS II A		250801
	823355541	fx_destroy	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\fx_destroy_8A523E32.wem		\Actor-Mixer Hierarchy\Default Work Unit\fx_destroy		272192
	841386519	MUS BUG LIGHT A	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\MUS BUG\MUS BUG LIGHT A_D2927CEA.wem		\Interactive Music Hierarchy\Default Work Unit\MUS\ROOM_BUG_A\MUS BUG LIGHT A\MUS BUG LIGHT A		240067
	841841874	MUS BUG LOOP F	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\MUS BUG\MUS BUG LOOP F_D2927CEA.wem		\Interactive Music Hierarchy\Default Work Unit\MUS\ROOM_BUG_D\MUS BUG LOOP F\MUS BUG LOOP F		28667
	864121367	MUS II B	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\MUS\MUS II B_D2927CEA.wem		\Interactive Music Hierarchy\Default Work Unit\MUS\ROOM_02\MUS II B\MUS II B		247434
	900749334	fx_next	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\fx_next_5FF32C9A.wem		\Actor-Mixer Hierarchy\Default Work Unit\fx_next		320620
	910589975	glitch	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\glitch_interface_super_duper_04_F17FB28C.wem		\Actor-Mixer Hierarchy\Default Work Unit\glitch		859232
	928592102	MUS BUG LIGHT B	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\MUS BUG\MUS BUG LIGHT B_D2927CEA.wem		\Interactive Music Hierarchy\Default Work Unit\MUS\ROOM_BUG_B\MUS BUG LIGHT B\MUS BUG LIGHT B		242030
	932314206	fx_grab_01	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\fx_grab_01_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\fx_grab\fx_grab_01		126660
	941565495	MUS BUG LOOP C	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\MUS BUG\MUS BUG LOOP C_A06B14ED.wem		\Actor-Mixer Hierarchy\Default Work Unit\BUG\BUG\MUS BUG LOOP C		203972
	961939856	fx_bulle	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\fx_bulle_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\fx_bulle		126660
	995357642	fx_door	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\fx_door_B5C30DF6.wem		\Actor-Mixer Hierarchy\Default Work Unit\fx_door		107688
	1000512093	fx_grab_02	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\fx_grab_02_0461740D.wem		\Actor-Mixer Hierarchy\Default Work Unit\fx_grab\fx_grab_02		161180
	1016632928	2m A	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\MUS\2m A_D2927CEA.wem		\Interactive Music Hierarchy\Default Work Unit\MUS\2m A\2m A		61656
	1025250673	MUS III A	C:\Users\JOON\Musique - travaux\projets\MCGJ 2018 - WIP TITLE WW\.cache\Windows\SFX\MUS\MUS III A_D2927CEA.wem		\Interactive Music Hierarchy\Default Work Unit\MUS\ROOM_03\MUS III A\MUS III A		244593

